level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	1	1	271	306	180	33	96.554901	omissions
5	1	1	1	1	2	466	306	34	32	97.004158	in
5	1	1	1	1	3	511	306	55	33	96.696869	the
5	1	1	1	1	4	581	311	148	28	96.585014	contents
5	1	1	1	1	5	745	306	40	33	96.8564	of
5	1	1	1	1	6	792	306	65	33	96.665199	this
5	1	1	1	1	7	872	306	188	39	96.168663	document,
5	1	1	1	1	8	1075	306	111	33	96.942444	which
5	1	1	1	1	9	1198	317	77	31	96.885788	may
5	1	1	1	1	10	1289	306	84	33	96.72435	arise
5	1	1	1	1	11	1388	317	34	22	96.888489	as
5	1	1	1	1	12	1437	317	18	21	96.84761	a
5	1	1	1	1	13	1467	306	102	33	96.905617	result
5	1	1	1	1	14	1582	306	41	33	97.008698	of
5	1	1	1	1	15	1632	306	177	33	96.439667	electronic
5	1	1	1	1	16	1822	306	239	33	96.743088	transmission.
5	1	1	1	1	17	2077	306	34	32	96.863541	If
5	1	2	1	1	1	647	358	210	33	96.361351	verification
5	1	2	1	1	2	870	358	27	33	91.770363	is
5	1	2	1	1	3	910	358	162	42	96.581512	required,
5	1	2	1	1	4	1086	358	113	42	96.494225	please
5	1	2	1	1	5	1212	363	133	37	96.944504	request
5	1	2	1	1	6	1358	369	18	21	96.932472	a
5	1	2	1	1	7	1389	358	184	42	96.835304	hard-copy
5	1	2	1	1	8	1587	358	142	33	94.570328	version.
5	1	3	1	1	1	959	457	143	31	93.301697	TERMS
5	1	3	1	1	2	1117	457	27	31	87.881699	&
5	1	3	1	1	3	1159	457	257	31	95.560799	CONDITIONS
5	1	4	1	1	1	71	554	2156	4	95.0	 
5	1	5	1	1	1	75	558	2148	4	95.0	 
5	1	6	1	1	1	69	555	6	2819	95.0	 
5	1	7	1	1	1	73	559	6	2811	95.0	 
5	1	8	1	1	1	97	590	118	37	96.725479	Term
5	1	9	1	1	1	99	756	111	39	95.83519	Equity
5	1	9	1	1	2	223	756	143	31	96.248459	Amount
5	1	9	1	1	3	381	756	106	39	96.713539	Payer
5	1	10	1	1	1	99	837	111	39	95.792252	Equity
5	1	10	1	1	2	223	837	143	31	96.672226	Amount
5	1	10	1	1	3	381	837	161	31	96.468315	Receiver
5	1	10	1	2	1	99	904	263	39	96.40947	(Counterparty)
5	1	11	1	1	1	99	985	141	39	96.142899	Floating
5	1	11	1	1	2	255	985	143	31	96.523399	Amount
5	1	11	1	1	3	414	985	105	39	96.564438	Payer
5	1	11	1	2	1	99	1066	141	39	96.268501	Floating
5	1	11	1	2	2	255	1066	143	31	96.087273	Amount
5	1	11	1	2	3	413	1066	162	31	96.087273	Receiver
5	1	11	1	3	1	100	1147	192	31	96.6539	Instrument
5	1	11	2	1	1	97	1228	105	30	96.371742	Trade
5	1	11	2	1	2	219	1228	83	30	95.889908	Date
5	1	11	3	1	1	99	1309	154	31	96.162636	Effective
5	1	11	3	1	2	270	1309	83	30	96.122856	Date
5	1	11	3	2	1	97	1393	215	31	96.624084	Termination
5	1	11	3	2	2	330	1393	83	30	95.823975	Date
5	1	11	3	3	1	99	1474	146	31	95.512619	Notional
5	1	11	3	3	2	260	1474	143	31	95.512619	Amount
5	1	11	3	4	1	98	1555	196	31	96.300903	Settlement
5	1	11	3	4	2	308	1555	166	39	96.115204	Currency
5	1	12	1	1	1	100	1636	90	30	96.58947	Initial
5	1	12	1	1	2	207	1636	180	39	95.940552	Exchange
5	1	12	1	1	3	401	1636	143	31	96.176201	Amount
5	1	12	1	2	1	100	1764	90	30	96.32576	Initial
5	1	12	1	2	2	207	1764	180	39	96.800697	Exchange
5	1	12	1	2	3	404	1764	161	39	96.180473	Payment
5	1	12	1	3	1	99	1812	83	30	96.980324	Date
5	1	13	1	1	1	97	1894	169	31	96.714088	Valuation
5	1	13	1	1	2	284	1894	132	39	96.426598	Date(s)
5	1	14	1	1	1	96	3251	104	31	96.698189	Asset
5	1	15	1	1	1	712	589	227	38	95.887733	Condition
5	1	16	1	1	1	713	756	142	31	96.561722	Nomura
5	1	16	1	1	2	872	756	161	31	96.022942	Financial
5	1	16	1	1	3	1051	756	199	31	96.022942	Investment
5	1	16	1	1	4	1265	756	134	39	93.297478	(Korea)
5	1	16	1	1	5	1415	756	71	36	91.981689	Co.,
5	1	16	1	1	6	1504	756	63	30	96.509834	Ltd.
5	1	16	1	2	1	712	871	210	39	91.953331	Shinyoung
5	1	16	1	2	2	938	871	195	31	93.300545	Securities
5	1	16	1	2	3	1148	871	75	36	91.694099	Co.,
5	1	16	1	2	4	1240	871	70	30	96.859871	Ltd.
5	1	17	1	1	1	712	985	237	39	96.575928	Counterparty
5	1	17	2	1	1	713	1066	142	31	96.561722	Nomura
5	1	17	2	1	2	872	1066	161	31	96.022942	Financial
5	1	17	2	1	3	1051	1066	199	31	96.022942	Investment
5	1	17	2	1	4	1265	1066	134	39	93.297478	(Korea)
5	1	17	2	1	5	1415	1066	71	36	91.981689	Co.,
5	1	17	2	1	6	1504	1066	63	30	96.509834	Ltd.
5	1	17	2	2	1	712	1147	84	31	95.751602	OTC
5	1	17	2	2	2	812	1147	112	39	96.475975	Equity
5	1	17	2	2	3	938	1147	100	38	96.515717	Swap
5	1	17	3	1	1	710	1220	241	48	96.871483	21-Aug-2019
5	1	17	4	1	1	710	1301	248	48	96.78022	23-Aug-2019
5	1	17	5	1	1	706	1380	252	56	95.655952	18-Aug-2022,
5	1	17	5	1	2	974	1393	131	39	96.810577	subject
5	1	17	5	1	3	1118	1394	33	30	96.594406	to
5	1	17	5	1	4	1165	1401	19	22	90.926018	a
5	1	17	5	1	5	1201	1393	184	31	90.926018	Knock-out
5	1	17	6	1	1	713	1474	82	31	96.317757	USD
5	1	17	6	1	2	810	1474	182	36	95.808075	2,812,600
5	1	18	1	1	1	706	1623	75	56	96.815315	USD
5	1	18	1	1	2	799	1623	164	56	96.600433	8,437.80
5	1	18	1	1	3	986	1635	149	39	96.658997	(0.300%
5	1	18	1	1	4	1151	1635	35	31	96.922028	of
5	1	18	1	1	5	1199	1635	147	31	96.440086	Notional
5	1	18	1	1	6	1358	1635	152	36	96.949028	Amount,
5	1	18	1	1	7	1528	1635	141	39	96.472389	payable
5	1	18	1	1	8	1685	1635	41	39	96.725266	by
5	1	18	1	1	9	1741	1635	143	31	96.933884	Nomura
5	1	18	1	1	10	1900	1635	161	31	96.860252	Financial
5	1	18	1	2	1	714	1683	199	31	96.697723	Investment
5	1	18	1	2	2	928	1683	133	39	93.289787	(Korea)
5	1	18	1	2	3	1077	1683	71	36	90.418015	Co.,
5	1	18	1	2	4	1166	1683	63	30	96.701363	Ltd.
5	1	18	1	2	5	1245	1684	33	30	96.48793	to
5	1	18	1	2	6	1293	1683	251	39	96.423409	Counterparty)
5	1	19	1	1	1	710	1943	625	4	95.0	 
5	1	20	1	1	1	1122	1966	185	31	92.102043	14-Feb-20
5	1	20	1	2	1	743	2041	59	27	96.173233	2nd
5	1	20	1	2	2	816	2041	153	27	94.914291	Valuation
